ERRFL 0x3000
ID27I 0x73a5
ID27O 0x73bd
FCOPY 0x73be
ZSREL 0x73cc
SRELE 0x73cf
ID28I 0x73d3
RINFO 0x73d4
SCMPE 0x73e6
ID28O 0x73eb
SCIDE 0x73ec
CRSYL 0x73f2
CRLAM 0x73f4
ERRMO 0x73fe
ID29I 0x7401
LISTT 0x7407
BFDIS 0x740b
LISTX 0x740c
E2000 0x7410
ID29O 0x7419
GTRT 0x741e
RTON 0x7425
RTOFF 0x742a
ID30I 0x742f
DELAM 0x7443
ID30O 0x7447
IIBMI 0x745d
LAPRO 0x7473
IIBMO 0x7475
ENT14 0x7477
RET14 0x747a
ICDCI 0x748b
E2100 0x7491
ICDCO 0x74a3
IUNII 0x74b9
IUNIO 0x74d1
IHONI 0x74e7
LAREA 0x74f7
IHONO 0x74ff
LISTS 0x750a
E2200 0x7512
9BPTM 0x7514
F1203 0x7515
URERT 0x7519
SBANK 0x7520
SBUF 0x7521
DFBLC 0x7522
DTBLC 0x7524
XFUNC 0x7526
NBLCK 0x7527
TNBLC 0x7528
RPAR 0x7529
WPAR 0x752d
9SBDF 0x7531
IICPF 0x753b
BT01R 0x753f
BT01W 0x7562
LIDEV 0x756a
BT01O 0x7577
BT01I 0x7583
STCEE 0x7588
E2300 0x7593
STCER 0x7594
BURET 0x759f
BT02R 0x75a9
FINET 0x75ab
FUNIL 0x75b8
COMEA 0x75c4
BT02W 0x75cc
GLAIN 0x75cd
LAINF 0x75df
BT02O 0x75e1
LRTPR 0x75e4
BT02I 0x75ed
ERR14 0x75fd
EFJOB 0x7604
COMEB 0x760a
BT03R 0x7613
E2400 0x7614
BT03W 0x7636
COMEC 0x763d
GETSW 0x7649
BT03O 0x764b
GETFR 0x7651
BT03I 0x7657
BMFRT 0x7659
STOPT 0x765f
BMTRT 0x7663
COMED 0x7667
PUTFR 0x7668
BMOR 0x766d
BT04R 0x767d
STRNS 0x7684
XXONC 0x7689
LLACO 0x768e
TERWA 0x7691
E2500 0x7695
COMEX 0x769c
BT04W 0x76a0
STARE 0x76af
READC 0x76b2
BT04O 0x76b5
ENTRT 0x76be
BT04I 0x76c1
ENTRC 0x76cb
STRET 0x76d1
BT05R 0x76e7
WHOIS 0x76ed
CCM02 0x76f4
BT05W 0x770a
E2600 0x7716
BT05O 0x771f
BT05I 0x772b
BDMTR 0x772c
STACH 0x7730
GETRN 0x774b
BT06R 0x7751
CCDUM 0x7757
UNEXT 0x7758
LLAMC 0x7765
BT06W 0x7774
BDMFU 0x7775
BT06O 0x7789
SETUN 0x778e
PANEL 0x778f
BT06I 0x7795
E2700 0x7797
CCM14 0x7798
SETAV 0x77ac
SSETE 0x77b9
BT07R 0x77bb
SETER 0x77bc
MBUIL 0x77c0
SLAMC 0x77c3
BT07W 0x77de
WIDIS 0x77e2
DCNVA 0x77e8
BT07O 0x77f3
SGPIB 0x77f7
BT07I 0x77ff
NDTPI 0x7800
BDTRA 0x780a
BD12T 0x7814
E3000 0x7818
MGTMR 0x781f
BT08R 0x7825
STRBD 0x783a
STMRS 0x783b
GETER 0x7844
BT08W 0x7848
INIBU 0x7853
BT08O 0x785d
CBF1 0x785f
BT08I 0x7869
ACLEA 0x787f
BT09R 0x788f
CBPUT 0x7897
E3100 0x7899
REBDI 0x78a6
BT09W 0x78b2
CAICL 0x78b8
BT09O 0x78c7
CAIC4 0x78d1
BT09I 0x78d3
INCOM 0x78d6
NEXIN 0x78d7
CAOCL 0x78da
LIICO 0x78f9
E3300 0x791a
D3500 0x791b
BT10W 0x791c
D3700 0x791d
EN999 0x791e
KGPIB 0x7924
BT10O 0x7931
SGPBS 0x7937
BT10I 0x793d
MGETP 0x7947
HELP 0x794f
BQ01O 0x7955
HITMR 0x7957
BQ01I 0x7961
HOTMR 0x7962
MMOVI 0x7966
DMSLP 0x7975
GVAL 0x7977
BQ02O 0x7979
MSTOR 0x797f
BQ02I 0x7985
BDISK 0x798b
BQ03O 0x799d
MGETM 0x79a0
DMTLP 0x79a1
TERMO 0x79a3
GEPNE 0x79a6
BQ03I 0x79a9
VEICL 0x79b1
GPIIM 0x79ba
BQ04O 0x79c1
BQ04I 0x79cd
VETMR 0x79d1
T1P09 0x79d2
BDTMO 0x79db
BQ05O 0x79e5
OPERA 0x79ea
BQ05I 0x79f1
CLPUT 0x79f9
BDTTY 0x7a08
BQ06O 0x7a09
BQ06I 0x7a15
BD8MO 0x7a20
CLCLO 0x7a25
BQ07O 0x7a2d
WFOPE 0x7a2f
BQ07I 0x7a39
BQ08O 0x7a51
BDDES 0x7a5a
BQ08I 0x7a5d
REUSE 0x7a70
BDDUM 0x7a73
BQ09O 0x7a75
DLPTM 0x7a76
BQ09I 0x7a81
MXMSG 0x7a82
CHDVB 0x7a84
RECST 0x7a95
BQ10O 0x7a99
EXECI 0x7a9e
DRXAC 0x7aa3
BQ10I 0x7aa5
STADO 0x7ab9
STADI 0x7abb
9EBDF 0x7abd
CSTTY 0x7ac2
HDOF1 0x7ac6
BDTMU 0x7ad6
INIBD 0x7ad8
T1P14 0x7ae8
CGTTY 0x7aeb
BDTMV 0x7aee
INISN 0x7b10
XBDTU 0x7b13
CDSPF 0x7b15
HOLI1 0x7b17
HDIF1 0x7b28
XBDTV 0x7b32
DEFES 0x7b46
BDRIN 0x7b49
TDRIN 0x7b4a
MOSTI 0x7b51
T1P10 0x7b72
MOTMI 0x7b7b
HILI1 0x7b80
DEFLO 0x7b82
MOSTO 0x7b90
HDOF2 0x7bad
CDESC 0x7bb9
CEESC 0x7bbe
MOTMO 0x7bcc
HOSTI 0x7be2
T1P11 0x7beb
TECBU 0x7bf9
HOLI2 0x7bfe
HDIF2 0x7c0f
HOTMI 0x7c19
MASKE 0x7c1f
HOTRI 0x7c20
HOSTO 0x7c2c
DTSLI 0x7c37
HILI2 0x7c67
HOTRO 0x7c79
NTERM 0x7c7d
HOTMO 0x7c81
DEFTE 0x7c86
IO023 0x7c93
HDOF3 0x7c94
LITER 0x7cdc
FIXC 0x7ce2
HOLI3 0x7ce5
HDIF3 0x7cf6
DEFEL 0x7d14
ENTRM 0x7d28
DITRM 0x7d2a
HILI3 0x7d4e
FIXC5 0x7d60
BERES 0x7d61
GETVA 0x7d65
SAVE 0x7d7b
DSTOT 0x7d7c
CHKRN 0x7d88
CHCLA 0x7d9e
BDLOU 0x7dae
HOLI4 0x7dcc
HDIF4 0x7ddd
BDDSC 0x7de1
TDDSC 0x7de2
BMAIR 0x7e0e
HILI4 0x7e35
TMAGT 0x7e47
LIPBU 0x7e59
MSNDB 0x7e5d
HDOF5 0x7e62
CMLTS 0x7e6d
MRELB 0x7e88
DEFLI 0x7e8e
BDROU 0x7e98
HOLI5 0x7eb3
BDCH5 0x7ec2
HDIF5 0x7ec4
LISLI 0x7ec9
ENLIP 0x7eea
DILIP 0x7eec
FAERO 0x7f00
FAERR 0x7f02
BDRWT 0x7f04
CPTSL 0x7f14
FLOME 0x7f18
HILI5 0x7f1c
SETSI 0x7f1e
VERDR 0x7f34
CHPAR 0x7f3b
HDOF6 0x7f49
CHSIZ 0x7f4f
REJEC 0x7f68
HOLI6 0x7f9a
ITB11 0x7f9f
PASET 0x7fa3
HDIF6 0x7fab
ITE11 0x7fb1
MFISI 0x7fb2
ERINI 0x7fc6
MFERS 0x7fc7
LTSPR 0x7fc9
ERPRI 0x7fd0
EIPIT 0x7fd3
MEMLI 0x7fdc
RNGCL 0x7ff8
CAON 0x7ffb
PCRMA 0x7fff
SILFO 0x8000
HILI6 0x8003
CAOFF 0x800b
CCOLD 0x8017
HDOF7 0x8030
HOLI7 0x8081
HDIF7 0x8092
HILI7 0x80ea
HOF10 0x8117
LOGSY 0x813f
HOL10 0x8168
CPFTS 0x816c
CPITS 0x8171
HIF10 0x8179
ITSLI 0x81b5
HIL10 0x81d1
HOF11 0x81fe
ILLTY 0x8202
NOMSG 0x8203
ILLNO 0x8204
ERDIS 0x8206
NOACC 0x820c
NREJE 0x8211
ERLOC 0x8213
NNOTE 0x8214
NNOTI 0x8215
PORTC 0x821a
NILLF 0x821b
NPROT 0x821c
ILLHA 0x821d
NFATA 0x821e
ERKLO 0x8222
L4GPH 0x8235
PILER 0x8236
HOL11 0x824f
STAPL 0x825d
HIF11 0x8260
PDRIV 0x8276
DIS12 0x82b3
HIL11 0x82b8
XRTSL 0x82c7
STOPL 0x82cb
XPUT 0x82cd
MODIN 0x82d2
MODI1 0x82d3
HOF12 0x82e5
HOL12 0x8336
HIF12 0x8347
HIL12 0x839f
CHNSW 0x83c7
HOF13 0x83cc
OUTLI 0x83f2
HOL13 0x841d
X5LIN 0x8420
DEFSH 0x8422
XALIN 0x8423
DEFHI 0x8426
HIF13 0x842e
INTCH 0x8474
HIL13 0x8486
STAHI 0x8492
MODUT 0x8493
STOHI 0x8496
HOF14 0x84b3
EDTRM 0x84b5
PRHIS 0x84be
HODIN 0x84c7
HODI1 0x84c8
XPRHI 0x84d0
MPASE 0x84f3
MPAGE 0x84f5
HOL14 0x8504
RERRP 0x850b
HIF14 0x8515
MSG 0x852b
GERDV 0x8555
MODE 0x856d
XTLX 0x8576
SEMPI 0x8591
PIO01 0x85b6
EXHEN 0x85d3
Z0PHY 0x85df
LOGDI 0x85ec
PIO02 0x8604
Z0USR 0x8614
ENSTA 0x8619
BATCH 0x8627
HDLC 0x864a
PIO03 0x8652
PIO04 0x86a0
MODXX 0x86ab
HODUT 0x86b7
CHFTR 0x86b8
APREB 0x86dd
PZCRA 0x86e2
APPBA 0x86ec
ETRN1 0x86ee
HDMOD 0x86f0
HDTM2 0x86fc
HDTM3 0x86ff
ZBINI 0x8704
XAPPB 0x871a
ZBGET 0x8723
PQMT1 0x8736
ETRN2 0x8743
ZBREL 0x875b
HDMID 0x8769
PQMT2 0x878b
SIM2O 0x8797
ETRN3 0x8798
HDSTA 0x879e
FALSE 0x879f
CHIOP 0x87af
MAPSI 0x87bd
BACKX 0x87c3
XMPAT 0x87ce
PQMT3 0x87e0
LTOUT 0x87e3
SBYTC 0x87eb
X21F1 0x87ef
SCRET 0x87f2
RACTB 0x87f5
RBYTC 0x87f8
DRERR 0x87fb
LIBAT 0x880e
XSSDA 0x881e
LIREQ 0x8853
X21F2 0x8856
LIBQU 0x8864
MSIBB 0x8891
HOINT 0x889b
IDHM1 0x88c4
TISIB 0x88cd
POFTO 0x88cf
DELBE 0x88d2
XSSND 0x88d9
DELRE 0x88e5
UDHM1 0x88e7
CUIDX 0x88ed
HDREC 0x88f9
IDHM2 0x8908
UDHM2 0x892b
CCM09 0x892c
IDHM3 0x894c
BRPNT 0x896c
UDHM3 0x896f
IDHM4 0x8990
HIINT 0x899e
ABJOB 0x89a8
CCM10 0x89aa
UDHM4 0x89b3
IDHM5 0x89d4
CCM11 0x89d7
ABBA 0x89e5
UDHM5 0x89f7
CHBAT 0x8a01
SCEDU 0x8a0c
IDHM6 0x8a18
UDHM6 0x8a3b
DEBUG 0x8a3d
HXST 0x8a45
XSHDR 0x8a52
SMCLE 0x8a5b
CLEBA 0x8a71
UDI01 0x8a72
UDO01 0x8a87
HDSIN 0x8a97
LIVER 0x8a9f
UDF01 0x8ab8
CCM12 0x8ae0
UDI02 0x8aef
UDO02 0x8b04
OLDST 0x8b05
TRASE 0x8b06
RECSE 0x8b1b
UDF02 0x8b35
SPSTA 0x8b55
UDI03 0x8b6c
UDO03 0x8b81
X2A00 0x8b89
X2A02 0x8b99
X2A05 0x8ba9
UDF03 0x8bb2
X2A10 0x8bb9
X2A11 0x8bc9
CMMCL 0x8bd0
X2A12 0x8bd9
UDI04 0x8be9
X2ATL 0x8bf9
UDO04 0x8bfe
X2PAT 0x8c09
UDF04 0x8c2f
UKPAR 0x8c43
UDDEV 0x8c44
USUNI 0x8c45
X2PAF 0x8c49
STORE 0x8c4f
EWLIM 0x8c50
EDIER 0x8c51
CLTHI 0x8c60
UDI05 0x8c66
DFCEN 0x8c6c
UKFNC 0x8c70
UKTAG 0x8c71
NWTAG 0x8c72
NAUT 0x8c73
CLCNG 0x8c74
DTRER 0x8c78
NOVAL 0x8c79
MBDCN 0x8c7a
ILADR 0x8c7b
ILDWD 0x8c7c
NOMIR 0x8c7e
UDF05 0x8cac
X2NEW 0x8cbc
X2OLD 0x8cbd
X212S 0x8cc1
X213S 0x8cca
UDI06 0x8ce3
UDO06 0x8cf8
X2SND 0x8d00
X21PG 0x8d12
X2SSS 0x8d25
UDF06 0x8d29
MLOGI 0x8d35
X32ST 0x8d48
DTGP0 0x8d4a
X21ER 0x8d6c
X21UT 0x8d78
X2SBY 0x8d86
X2RAC 0x8d8a
X2RBY 0x8d8e
XTSTC 0x8d92
X21AA 0x8da4
SSDES 0x8db0
MLGTM 0x8dc2
TREPP 0x8dcd
DP100 0x8dce
GPMSL 0x8ddb
GPXRM 0x8ddc
GPXRL 0x8ddd
GPP01 0x8dde
GPPNA 0x8ddf
GPSCR 0x8de3
SWPLO 0x8dfc
SSTAR 0x8dfd
DMLP1 0x8e06
STSRV 0x8e10
LSSRV 0x8e2b
X21RE 0x8e30
DILP1 0x8e42
GDEVT 0x8e44
X21CL 0x8e59
X21CN 0x8e87
DMPR1 0x8e8f
GTXT 0x8e9f
IDMP1 0x8ea8
GETXM 0x8ebb
INBAC 0x8ee1
X21RD 0x8ee4
X21DC 0x8ee6
DMLP2 0x8eec
X21CH 0x8efe
X21BR 0x8f25
DILP2 0x8f28
X21C 0x8f2f
MOVSY 0x8f3a
X21LV 0x8f5b
X321I 0x8f62
DMPR2 0x8f75
IDMP2 0x8f8e
DLPR 0x8fb8
GET5M 0x8fcb
DLPR2 0x8fd3
5DQAC 0x8fe6
X21GC 0x8feb
CPLAM 0x8ffb
SG36S 0x9000
BADM 0x9001
5NAMS 0x9003
CSSEM 0x9007
PLSSE 0x900b
FIXSE 0x900f
SYDSE 0x9013
SWORK 0x9017
ABSLI 0x901b
X321T 0x901d
XSDUN 0x901f
XABSF 0x9021
XSWME 0x9022
XABLO 0x9024
XHABL 0x9026
XABLN 0x9027
SWEHS 0x9028
CKFLI 0x9029
DSWMS 0x902a
SWMSG 0x902c
5HIFL 0x902d
5HRTP 0x902e
5HINT 0x902f
5HICH 0x9030
5HRTB 0x9031
5HIST 0x9032
5HIDA 0x9034
EXABS 0x9036
X2GET 0x9082
X211 0x90a5
ELON 0x90c2
T2P07 0x90db
X2118 0x90ea
FCPUL 0x90f0
ELOFF 0x90f2
X2114 0x90fb
ELOFU 0x9110
DLOFU 0x9112
X21SH 0x9114
CPULG 0x9119
X2119 0x912e
X2120 0x9135
EUSEL 0x9139
DUSEL 0x913b
X2121 0x9145
FLOGD 0x9149
X2116 0x915c
FFLOG 0x9162
IBRSI 0x9163
X212 0x9170
T2P06 0x91c6
X217 0x91e7
UDMA 0x91f8
RTRAN 0x9210
WTRAN 0x9224
X2110 0x9230
5HIOU 0x9234
5MLOG 0x9236
5MLOP 0x9237
5LOGP 0x9238
D5FXB 0x9239
WXTRA 0x923a
5DSPS 0x923b
CERNE 0x923c
5DBFL 0x923d
HIMES 0x923e
PROCA 0x923f
5MSIN 0x9240
5MMES 0x9241
5FPMA 0x9242
5NPMA 0x9243
5FPM6 0x9244
5NPM6 0x9245
5SWOW 0x9246
5SUSP 0x9247
SUSPA 0x9248
IBM41 0x9249
IBM5P 0x924b
IBMM6 0x924d
IBMIN 0x924f
IBMPR 0x9250
IBMWN 0x9251
IBMLG 0x9252
RTPWO 0x9253
X2112 0x925a
LOGFI 0x9287
MNLOG 0x9288
COMRT 0x9289
ALLRT 0x928a
MBLGA 0x928b
ALGAR 0x928c
UPDSI 0x928e
HISTO 0x9298
INBRP 0x92ad
X21RT 0x92cb
X218 0x92e2
X219 0x92f4
CMCHT 0x92fc
O3CHA 0x9306
UDTMO 0x930a
UFELL 0x9313
D3CHA 0x9314
CDVCO 0x9318
SLVTB 0x931a
X2S01 0x9329
LGARR 0x933a
COPCO 0x933e
MLIDF 0x9364
NNT37 0x938d
XERRF 0x93a4
X2E01 0x93a9
URT01 0x93b2
URT02 0x93b4
URT03 0x93b6
URT04 0x93b8
URT05 0x93ba
URT06 0x93bc
DILRT 0x93c1
3OWFI 0x93c8
MXSIB 0x93d1
SIBBD 0x93d2
SIBAP 0x93de
DIA0 0x93ea
DIA1 0x9401
DIA2 0x9418
X2E02 0x9429
MLVIN 0x942a
MPITB 0x942b
MPITA 0x942c
PRIMA 0x942d
DSI0 0x9435
DSI1 0x944c
DXRAR 0x9455
LOOKA 0x945c
DSI2 0x9463
DIA3 0x9474
PARBU 0x9475
DIA4 0x948b
DIA5 0x94a2
DSI3 0x94bf
DSI4 0x94d6
DSI5 0x94ed
DIA6 0x94fe
DIA7 0x9515
3INST 0x9518
DIA8 0x952c
DIA9 0x9543
DIA10 0x955a
DIA11 0x9571
DSI6 0x958e
DSI7 0x95a5
3OUTS 0x95b9
DSI8 0x95bc
DSI9 0x95d3
DSI10 0x95ea
DSI11 0x9601
EDSIB 0x9612
IPRIV 0x9617
RENDB 0x9622
MBTER 0x9626
CAMAC 0x9634
GL 0x965c
IOXN 0x966c
BAUTI 0x966f
SAMPA 0x9675
ASSIG 0x9676
BCNAF 0x96a1
US0X 0x96d1
APRDE 0x9717
XITBX 0x9723
CCSWL 0x9724
SWLGO 0x9725
TFPF1 0x9726
TFPF2 0x9727
CFPF1 0x9728
CFPF2 0x9729
TPFR1 0x972a
TPFR2 0x972b
CPFR1 0x972c
CPFR2 0x972d
TPF41 0x972e
TPF42 0x972f
CPF41 0x9730
CPF42 0x9731
TPF11 0x9732
TPF12 0x9733
CPF11 0x9734
CPF12 0x9735
SNWP1 0x9736
SNWP2 0x9737
DLPM6 0x9738
DLMFP 0x973e
DLMLP 0x973f
XPPRS 0x9740
DLPMF 0x9745
CDILB 0x9749
LAMD9 0x9759
DIDLO 0x9760
DEDF1 0x9774
OPD01 0x9777
US2X 0x9788
LISTR 0x979c
OPD02 0x97a3
DEDF2 0x97a4
US3X 0x97c4
OPD03 0x97ca
DEDF3 0x97d4
OPD04 0x97e7
US4X 0x97f8
OPD32 0x97ff
